Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,28-Feb-2022,03-Mar-2022,CE,16200.00,445.95,713.25,339.80,658.40,680.00,658.40,29636.00,246885.41,6833.81,223500.00,48350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17000.00,60.00,120.00,24.00,109.60,105.00,109.60,2046849.00,17474763.26,76546.76,3528200.00,659900.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17750.00,2.85,3.05,1.80,2.60,2.30,2.60,44679.00,396578.64,52.52,419250.00,118150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18550.00,1.20,1.20,0.75,0.90,0.75,0.90,1880.00,17437.83,0.83,21100.00,1450.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19400.00,0.85,0.85,0.55,0.60,0.60,0.60,2039.00,19779.01,0.71,78600.00,-950.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15500.00,1039.25,1325.85,924.95,1296.30,1288.35,1296.30,1091.00,9035.44,580.19,53200.00,1500.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16250.00,401.05,632.15,305.50,620.90,614.25,620.90,10932.00,91013.06,2190.56,42900.00,1350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17050.00,64.40,99.85,18.60,90.60,86.95,90.60,279921.00,2395132.37,8805.84,337900.00,-20050.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17800.00,1.90,2.60,0.65,2.35,2.30,2.35,319470.00,2843602.22,319.22,2578700.00,-50250.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18600.00,0.90,1.05,0.55,0.70,0.60,0.70,7472.00,69492.65,3.05,154350.00,-10850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19450.00,1.00,1.00,0.50,0.65,0.55,0.65,7117.00,69215.09,2.27,12000.00,1200.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15550.00,993.45,1214.40,890.80,1214.40,1214.40,1249.10,10.00,82.84,5.09,200.00,-200.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,19500.00,2.05,2.05,1.50,1.80,1.80,1.80,207.00,2018.44,0.19,12200.00,2250.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,19650.00,2.70,2.70,0.90,1.75,1.70,1.75,55.00,540.42,0.04,1050.00,850.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15150.00,1533.90,1533.90,1533.90,1533.90,1533.90,1661.30,1.00,8.34,0.77,50.00,50.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15200.00,1342.60,1624.40,1267.70,1624.40,1624.40,1624.40,6.00,49.79,4.19,100.00,100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15250.00,1536.65,1536.65,1536.65,1536.65,1536.65,1561.85,1.00,8.39,0.77,50.00,50.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15300.00,1256.80,1511.50,1195.25,1511.50,1511.50,1512.25,5.00,41.68,3.43,50.00,50.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15350.00,-,-,-,1351.05,1351.05,1462.70,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,16400.00,412.95,639.90,374.40,620.50,610.65,620.50,9270.00,78115.76,2101.76,26650.00,-2250.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,17150.00,85.50,196.75,84.40,191.30,188.60,191.30,3439.00,29732.29,242.87,41950.00,1250.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,17950.00,14.40,21.70,8.25,20.30,21.05,20.30,2381.00,21386.83,17.36,48950.00,41600.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,18700.00,3.00,3.30,2.00,3.10,3.30,3.10,144.00,1346.60,0.20,13150.00,3050.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,19550.00,2.60,2.60,1.25,1.25,1.25,1.25,4.00,39.10,-,100.00,100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,19700.00,2.00,2.00,0.90,1.60,1.60,1.60,109.00,1073.73,0.08,7150.00,600.00,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15400.00,1165.70,1454.90,1165.70,1454.90,1454.90,1454.90,6.00,49.99,3.79,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,CE,15450.00,1220.65,1220.65,1220.65,1220.65,1220.65,1363.95,1.00,8.34,0.61,150.00,50.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15950.00,603.15,882.05,529.35,882.05,882.05,882.05,47.00,390.36,15.54,1750.00,100.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16650.00,144.00,323.70,102.35,304.85,295.50,304.85,349203.00,2945367.93,38252.96,235350.00,-97150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17400.00,11.80,18.60,3.65,14.80,13.60,14.80,1006630.00,8762802.35,5121.35,3998450.00,1425550.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18200.00,1.35,1.45,0.95,1.20,1.15,1.20,46494.00,423122.73,27.33,604650.00,-78150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19000.00,0.75,0.90,0.50,0.65,0.60,0.65,28010.00,266104.98,9.98,951450.00,-227000.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16000.00,596.10,858.45,486.70,834.90,833.25,834.90,22626.00,188219.01,7211.01,168200.00,2350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16700.00,197.65,288.00,86.05,270.35,267.00,270.35,1275613.00,10779531.75,128163.20,1488200.00,-42850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17450.00,10.40,13.75,3.20,10.95,10.50,10.95,217139.00,1895449.86,912.09,1028850.00,512000.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18250.00,1.60,1.60,0.95,1.25,0.95,1.25,8257.00,75350.34,5.21,238050.00,-47850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19050.00,0.30,0.95,0.30,0.70,0.70,0.70,2441.00,23251.42,0.90,12500.00,800.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16750.00,130.00,255.50,71.20,238.30,236.00,238.30,439653.00,3721325.38,39231.50,318100.00,-650.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17500.00,5.55,10.20,2.95,8.35,8.25,8.35,1337008.00,11702898.37,4078.37,7476950.00,2209000.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18300.00,2.40,2.40,0.85,1.00,0.95,1.00,16552.00,151459.52,8.72,370400.00,29850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19100.00,0.80,0.90,0.55,0.65,0.55,0.65,2962.00,28288.20,1.10,60850.00,-4000.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16800.00,115.00,224.00,58.35,208.15,207.45,208.15,1225908.00,10387876.12,90248.92,1749450.00,371350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17550.00,4.00,7.60,2.55,6.20,5.85,6.20,136620.00,1199173.32,332.82,867850.00,241350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18350.00,1.25,1.45,0.95,1.15,1.10,1.15,5575.00,51153.92,3.29,290050.00,-30200.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19150.00,0.90,0.90,0.60,0.70,0.70,0.70,10631.00,101795.52,3.69,10700.00,1700.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19200.00,0.95,0.95,0.50,0.65,0.55,0.65,1122.00,10771.58,0.38,30850.00,450.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16050.00,525.00,798.55,449.50,788.95,783.80,788.95,296.00,2459.53,84.13,4450.00,2250.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16850.00,120.00,194.80,47.65,180.55,178.90,180.55,343973.00,2919503.77,21531.24,241400.00,8850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17600.00,3.90,6.95,2.30,4.80,4.75,4.80,546530.00,4810503.71,1039.71,2609800.00,258650.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18400.00,1.05,1.20,0.80,0.90,0.80,0.90,11075.00,101895.42,5.42,169650.00,23350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19250.00,0.90,0.95,0.50,0.65,0.55,0.65,743.00,7151.66,0.28,12250.00,6750.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,14750.00,1846.15,2005.55,1846.15,1951.55,1951.55,2048.85,5.00,41.73,4.85,50.00,50.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,14800.00,1590.75,1590.75,1590.75,1590.75,1590.75,1998.85,1.00,8.20,0.80,50.00,-,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16100.00,501.25,767.20,412.80,748.25,741.65,748.25,4737.00,39445.84,1312.99,25900.00,10350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,16900.00,36.00,167.50,36.00,153.90,151.00,153.90,874947.00,7438830.35,45528.20,1350700.00,370600.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,17650.00,3.90,4.65,2.15,3.85,3.65,3.85,79346.00,700355.12,126.67,458900.00,56150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,18450.00,1.30,1.30,0.75,0.95,0.95,0.95,2647.00,24419.77,1.20,40250.00,6550.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,19300.00,1.00,1.00,0.50,0.70,0.50,0.70,2407.00,23228.38,0.83,37650.00,-3150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,14850.00,1850.45,1850.45,1850.45,1850.45,1850.45,1948.85,1.00,8.35,0.93,50.00,50.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,14900.00,1553.85,1606.55,1521.00,1606.55,1606.55,1898.90,4.00,32.91,3.11,150.00,150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,14950.00,1469.75,1836.00,1404.05,1728.60,1728.60,1848.90,5.00,41.35,3.98,150.00,150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15000.00,1454.70,1798.75,1454.70,1798.75,1798.75,1798.75,7.00,58.28,5.78,200.00,200.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15050.00,-,-,-,1210.45,-,1748.95,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15100.00,1309.90,1618.75,1309.90,1618.75,1618.75,1698.95,4.00,33.13,2.93,100.00,100.00,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15150.00,-,-,-,1111.35,-,1648.95,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15200.00,-,-,-,1062.00,-,1599.00,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,CE,15250.00,1211.95,1490.00,1211.95,1488.95,1488.95,1549.00,4.00,33.32,2.82,50.00,50.00,-
