Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2021,31-Mar-2022,CE,17400.00,575.30,597.50,575.30,597.50,597.50,597.50,4.00,35.97,1.17,150.00,150.00,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,17450.00,-,-,-,715.25,-,788.40,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,19500.00,30.05,33.00,25.00,32.25,32.00,32.25,516.00,5039.08,8.08,58300.00,4700.00,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,10500.00,6730.00,6730.00,6730.00,6730.00,6730.00,6730.00,1.00,8.62,3.37,570325.00,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,17500.00,465.15,559.40,465.15,540.00,545.75,540.00,1281.00,11551.15,342.40,325150.00,11750.00,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16050.00,-,-,-,1561.40,-,1676.70,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16100.00,-,-,-,1525.10,-,1638.45,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16150.00,-,-,-,1488.55,-,1600.65,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,19000.00,-,-,-,1321.05,-,872.65,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,13000.00,-,-,-,3610.30,-,4635.10,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,17500.00,900.00,900.00,850.00,879.95,879.95,1162.75,11.00,100.97,4.72,500.00,150.00,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,20500.00,-,-,-,87.00,87.00,261.65,-,-,-,150.00,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16500.00,1130.15,1220.00,1130.15,1194.10,1203.60,1194.10,99.00,875.63,58.88,54450.00,1750.00,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18050.00,-,-,-,476.05,-,531.00,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18100.00,-,-,-,459.25,-,512.75,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18150.00,-,-,-,442.90,-,495.00,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18200.00,-,-,-,427.00,-,477.70,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18250.00,-,-,-,411.55,-,460.90,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18300.00,-,-,-,396.55,-,444.50,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18350.00,-,-,-,382.00,-,428.60,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18400.00,-,-,-,367.85,-,413.15,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18450.00,-,-,-,354.10,-,398.10,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,21000.00,-,-,-,149.05,149.05,195.85,-,-,-,50.00,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,20000.00,-,-,-,985.55,-,590.65,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,18500.00,130.95,164.95,126.80,155.20,154.00,155.20,1195.00,11142.61,88.86,214450.00,26900.00,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,15500.00,2040.00,2040.00,2025.00,2025.00,2025.00,2025.00,6.00,52.58,6.08,2650.00,-,17354.05
NIFTY,31-Dec-2021,30-Jun-2022,CE,22000.00,-,-,-,94.80,-,106.35,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,12000.00,-,-,-,5584.30,-,5732.35,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,13000.00,-,-,-,4653.65,-,4797.60,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,14000.00,-,-,-,3265.30,-,3907.10,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,29-Sep-2022,CE,14500.00,-,-,-,2745.00,2745.00,3486.60,-,-,-,50.00,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16550.00,-,-,-,1213.20,-,1314.45,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16600.00,-,-,-,1181.10,-,1280.85,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16650.00,-,-,-,1149.50,-,1247.80,-,-,-,-,-,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,CE,16700.00,-,-,-,1118.45,-,1215.20,-,-,-,-,-,17354.05
