Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,28-Feb-2022,17-Mar-2022,PE,18600.00,-,-,-,770.35,-,1778.30,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19200.00,-,-,-,2522.95,2522.95,2399.75,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15550.00,115.00,151.95,86.85,89.15,88.25,89.15,996.00,7795.71,51.81,16150.00,11400.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17900.00,1470.50,1470.50,1115.00,1119.75,1116.25,1119.75,24.00,229.52,14.72,11400.00,-400.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16200.00,340.85,390.05,228.75,236.90,237.30,236.90,1457.00,11995.90,194.20,8200.00,2700.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15700.00,50.90,82.40,29.45,33.65,36.50,33.65,331035.00,2606935.15,8310.40,1596950.00,416350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16450.00,196.05,287.45,115.15,127.80,130.00,127.80,288123.00,2397852.63,28040.96,490650.00,321400.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17200.00,700.00,852.25,445.00,468.85,468.00,468.85,5405.00,47985.18,1502.18,124750.00,-20200.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18000.00,1533.95,1613.75,1208.00,1236.10,1243.25,1236.10,158.00,1541.00,119.00,5400.00,1200.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18800.00,-,-,-,2302.60,2302.60,1985.60,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19650.00,-,-,-,1502.80,-,2834.35,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15800.00,205.00,266.00,160.60,166.25,170.00,166.25,229.00,1832.07,22.97,2650.00,2200.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15850.00,182.70,186.00,166.70,178.35,174.05,178.35,14.00,112.19,1.24,150.00,150.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16500.00,394.70,461.45,258.20,269.70,274.00,269.70,47091.00,396229.25,7728.50,656450.00,229500.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17250.00,800.00,871.00,604.15,615.30,629.55,615.30,33.00,295.60,10.98,3950.00,-700.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17750.00,-,-,-,376.65,-,984.80,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18550.00,-,-,-,742.40,-,1729.50,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19150.00,-,-,-,1568.50,-,2349.75,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15450.00,108.95,133.95,78.00,79.55,81.95,79.55,166.00,1290.47,8.12,3050.00,800.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15500.00,87.35,142.70,80.80,83.85,85.00,83.85,22013.00,171742.97,1142.22,325650.00,120500.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17850.00,1403.65,1475.85,1190.40,1190.40,1190.40,1050.40,6.00,57.62,4.07,500.00,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16150.00,327.25,360.15,258.80,263.85,263.85,94.70,14.00,115.20,2.15,350.00,250.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17000.00,724.75,796.30,534.05,546.80,550.25,546.80,83.00,730.90,25.40,19350.00,350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15650.00,50.00,75.70,27.30,30.65,31.85,30.65,70250.00,551322.66,1616.41,94050.00,8150.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16400.00,177.00,264.80,105.45,117.10,122.00,117.10,944399.00,7829522.20,85450.40,2156000.00,927650.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17150.00,673.90,787.15,418.10,429.15,437.20,429.15,626.00,5527.45,159.50,26650.00,-2450.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18750.00,-,-,-,1182.85,-,1935.75,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19600.00,-,-,-,1463.05,-,2784.40,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15750.00,-,-,-,86.85,-,34.95,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16450.00,361.25,435.05,245.15,254.85,260.55,254.85,3437.00,28854.83,585.50,25700.00,-3150.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17200.00,830.00,895.00,567.05,591.80,594.05,591.80,514.00,4592.30,171.90,20050.00,1350.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17950.00,1364.00,1364.00,1247.80,1269.60,1269.60,1147.95,6.00,57.75,3.90,300.00,-150.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18500.00,-,-,-,715.05,-,1680.85,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19100.00,2699.90,2699.90,2699.90,2699.90,2699.90,2299.75,1.00,10.90,1.35,50.00,50.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15350.00,99.80,118.50,66.80,70.00,71.80,70.00,1139.00,8796.22,54.39,28350.00,7100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15400.00,97.95,126.30,69.80,74.25,75.95,74.25,4269.00,33067.89,196.59,37450.00,-7150.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16100.00,295.85,351.10,208.10,218.55,223.50,218.55,356.00,2911.66,45.86,2650.00,1650.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16950.00,-,-,-,157.60,-,400.45,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17700.00,1100.00,1100.00,960.00,990.00,1020.00,990.00,4.00,37.48,2.08,150.00,50.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16350.00,150.00,243.00,96.85,107.55,108.05,107.55,243798.00,2013003.37,19954.72,436450.00,253350.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17100.00,628.90,756.65,374.45,395.35,399.00,395.35,5604.00,49303.88,1389.68,157850.00,-17750.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17800.00,1348.45,1425.00,1000.00,1022.75,1028.10,1022.75,89.00,841.91,49.81,33600.00,-2100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19550.00,-,-,-,1548.25,-,2734.45,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15700.00,74.10,292.70,74.10,148.00,152.80,148.00,157.00,1248.65,16.20,2400.00,2250.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15600.00,56.30,69.15,24.90,28.65,31.10,28.65,280107.00,2190748.63,5914.03,1259050.00,331300.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17150.00,791.95,854.90,542.45,556.00,567.55,556.00,110.00,980.98,37.73,2400.00,-850.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17900.00,1439.20,1509.15,1135.85,1135.85,1135.85,1135.85,22.00,212.02,15.12,2950.00,-200.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18700.00,-,-,-,1418.05,1418.05,1885.90,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18450.00,-,-,-,688.30,-,1632.35,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19050.00,-,-,-,2117.40,2117.40,2249.80,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15150.00,80.50,86.55,55.05,55.55,56.00,55.55,56.00,426.09,1.89,350.00,150.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15200.00,74.55,98.50,56.75,58.75,60.00,58.75,3977.00,30371.01,145.81,75500.00,19400.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15250.00,83.00,104.75,59.75,61.40,64.60,61.40,249.00,1907.74,9.12,1400.00,1100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15300.00,82.05,111.00,62.05,66.35,62.05,66.35,6125.00,47098.42,242.17,62950.00,38250.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16400.00,322.35,413.95,230.10,240.40,244.00,240.40,23949.00,200176.15,3794.35,145500.00,44750.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16900.00,682.35,720.00,478.25,493.50,505.00,493.50,43.00,375.20,11.85,8600.00,150.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17650.00,-,-,-,341.60,-,899.85,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18800.00,-,-,-,887.85,-,1974.70,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19450.00,-,-,-,2400.70,2400.70,2649.65,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17400.00,906.35,1039.80,611.10,638.90,646.85,638.90,849.00,7743.30,357.00,43900.00,-4800.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,18100.00,1391.30,1416.45,1391.30,1416.45,1416.45,1300.10,2.00,19.50,1.40,9150.00,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16450.00,434.15,469.50,310.75,310.75,310.75,310.75,62.00,521.28,11.33,850.00,850.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17200.00,863.50,863.50,651.90,656.30,651.90,656.30,29.00,260.11,10.71,2550.00,100.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16050.00,290.55,290.55,215.45,219.65,215.45,219.65,6.00,48.88,0.73,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15900.00,149.70,149.70,42.20,48.25,51.65,48.25,375996.00,3002946.21,13778.01,1404000.00,386800.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16650.00,270.00,400.65,163.10,176.35,176.00,176.35,239773.00,2023625.50,27515.28,310400.00,-108650.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18200.00,1498.00,1555.00,1430.00,1430.00,1430.00,1430.00,5.00,49.22,3.72,450.00,250.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19000.00,2340.00,2340.00,2200.00,2200.00,2200.00,2200.00,22.00,234.21,25.21,1150.00,1100.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19400.00,-,-,-,1530.40,-,2599.65,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15800.00,210.15,210.15,115.00,119.25,122.00,119.25,10567.00,84257.05,777.75,213200.00,28300.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16650.00,450.00,535.00,306.35,318.35,328.15,318.35,3483.00,29634.90,638.92,28450.00,-900.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17400.00,984.85,995.30,720.55,729.05,733.00,729.05,161.00,1466.72,66.02,7250.00,-1600.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17950.00,-,-,-,453.70,-,1161.80,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18750.00,-,-,-,857.65,-,1925.45,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19350.00,2838.75,2838.75,2838.75,2838.75,2838.75,2549.70,1.00,11.09,1.42,50.00,50.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17350.00,861.00,987.30,590.15,592.15,595.95,592.15,45.00,407.53,17.16,10450.00,-450.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,18050.00,-,-,-,1394.65,1394.65,1250.15,-,-,-,350.00,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16400.00,408.40,473.05,280.85,290.10,291.55,290.10,996.00,8339.28,172.08,13350.00,10000.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17150.00,-,-,-,371.20,371.20,523.05,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16000.00,261.45,313.95,192.05,200.80,205.00,200.80,1818.00,14763.25,219.25,48450.00,11850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15850.00,81.60,106.75,38.85,43.75,47.60,43.75,99541.00,792236.38,3373.95,209150.00,122250.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16600.00,275.00,369.65,149.10,162.90,167.95,162.90,826872.00,6954428.00,91390.40,2051250.00,95050.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18150.00,1437.75,1437.75,1437.75,1437.75,1437.75,1341.60,1.00,9.79,0.71,50.00,50.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18950.00,-,-,-,1330.00,-,2135.25,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19800.00,-,-,-,2700.15,2700.15,2984.15,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15700.00,141.40,181.30,102.75,106.95,109.70,106.95,9602.00,76017.93,642.23,161150.00,47100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15750.00,164.00,182.95,108.50,112.90,115.65,112.90,354.00,2812.61,24.86,4550.00,1350.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16600.00,411.65,508.95,289.20,302.05,306.10,302.05,19488.00,165270.90,3520.50,174100.00,58900.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17900.00,-,-,-,433.55,-,1116.75,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18700.00,-,-,-,827.95,-,1876.25,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19300.00,-,-,-,1925.15,1925.15,2499.70,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,17300.00,769.95,950.00,525.00,546.65,556.00,546.65,1437.00,12910.29,480.24,94100.00,-7850.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,18000.00,1537.95,1611.15,1194.70,1221.50,1230.00,1221.50,180.00,1742.73,122.73,55550.00,-2650.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16300.00,364.55,428.95,250.35,262.10,261.50,262.10,768.00,6375.92,116.72,5650.00,3650.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16350.00,410.00,418.00,290.00,306.70,306.70,144.55,16.00,133.64,2.84,650.00,550.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17100.00,792.15,853.40,588.00,588.20,588.75,588.20,25.00,223.21,9.46,9300.00,-100.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15950.00,-,-,-,118.20,-,59.05,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,15800.00,75.25,98.00,35.45,40.40,42.95,40.40,469908.00,3726727.68,14454.48,1834650.00,553300.00,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,16550.00,255.00,340.00,137.00,149.75,152.00,149.75,211348.00,1770701.05,21796.35,321300.00,45100.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18100.00,1650.00,1650.00,1340.00,1340.00,1340.00,1340.00,11.00,107.69,8.14,600.00,300.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,18900.00,-,-,-,1816.15,1816.15,2085.35,-,-,-,50.00,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,19750.00,-,-,-,1545.10,-,2934.20,-,-,-,-,-,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,15650.00,142.85,169.90,96.00,100.25,104.00,100.25,354.00,2791.79,21.74,6150.00,-1450.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,16550.00,404.35,481.35,275.65,283.45,282.55,283.45,2518.00,21264.56,428.11,25050.00,12550.00,-
NIFTY,28-Feb-2022,10-Mar-2022,PE,17350.00,942.55,1022.70,706.80,706.80,706.80,706.80,36.00,326.90,14.60,3400.00,-150.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17850.00,-,-,-,414.00,-,1072.20,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,18650.00,-,-,-,798.85,-,1827.20,-,-,-,-,-,-
NIFTY,28-Feb-2022,03-Mar-2022,PE,19250.00,-,-,-,1506.65,-,2449.70,-,-,-,-,-,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,16250.00,374.20,374.20,242.35,242.35,242.35,242.35,11.00,90.99,1.61,350.00,300.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,17050.00,637.65,637.65,637.65,637.65,637.65,459.55,1.00,8.84,0.32,150.00,50.00,-
NIFTY,28-Feb-2022,17-Mar-2022,PE,15900.00,211.00,270.30,176.35,181.30,187.15,181.30,273.00,2200.14,29.79,2400.00,-800.00,-
