Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,01-Mar-2023,16-Mar-2023,CE,16700.00,772.55,772.55,772.55,772.55,772.55,834.10,1.00,8.74,0.39,150.00,-,17450.90
NIFTY,01-Mar-2023,16-Mar-2023,CE,19350.00,3.20,3.65,2.55,3.25,3.25,1.00,60.00,580.60,0.10,1200.00,500.00,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,17550.00,11.00,18.50,10.10,14.30,13.50,14.30,2524198.00,22167964.74,18127.29,5385100.00,712550.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,17350.00,131.85,202.15,131.85,191.70,194.00,191.70,24399.00,213777.19,2115.86,135600.00,-104650.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,18550.00,3.15,3.15,1.70,1.80,1.75,1.80,83.00,769.93,0.10,3750.00,2200.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,18600.00,3.10,3.15,1.50,1.75,1.50,1.75,1847.00,17179.14,2.04,56350.00,-4550.00,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,16500.00,882.95,963.20,882.00,960.70,963.20,960.70,99.00,862.54,45.79,6500.00,50.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,16150.00,-,-,-,1594.90,-,1326.00,-,-,-,-,-,17450.90
NIFTY,01-Mar-2023,16-Mar-2023,CE,16900.00,-,-,-,1186.10,-,664.35,-,-,-,-,-,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,16600.00,796.05,862.00,796.05,862.00,862.00,854.10,3.00,26.16,1.26,3700.00,-150.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,17500.00,70.00,108.45,69.15,100.75,103.50,100.75,240111.00,2112196.52,11225.27,2091700.00,827700.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,18700.00,3.05,3.35,1.40,1.65,1.40,1.65,3351.00,31335.52,3.67,78250.00,13200.00,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,17750.00,2.05,2.80,0.95,1.15,1.05,1.15,625429.00,5551219.66,537.28,3226000.00,-389100.00,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,18800.00,1.30,1.30,0.25,0.30,0.25,0.30,34824.00,327355.88,10.28,551550.00,-188950.00,17450.90
NIFTY,01-Mar-2023,16-Mar-2023,CE,18300.00,6.90,7.30,5.30,5.80,5.80,5.80,1133.00,10370.50,3.55,72550.00,1450.00,17450.90
NIFTY,01-Mar-2023,23-Mar-2023,CE,17300.00,275.00,333.00,267.05,327.90,325.10,327.90,153.00,1346.49,23.04,7900.00,-350.00,17450.90
NIFTY,01-Mar-2023,23-Mar-2023,CE,17350.00,250.00,291.00,244.40,280.25,280.25,416.35,55.00,484.60,7.47,1500.00,700.00,17450.90
NIFTY,01-Mar-2023,29-Mar-2023,CE,13000.00,4484.15,4484.15,4484.15,4484.15,4484.15,4484.15,1.00,8.74,2.24,555850.00,-,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,19000.00,1.10,1.10,0.20,0.30,0.25,0.30,144675.00,1374453.29,40.79,3840450.00,-1119250.00,17450.90
NIFTY,01-Mar-2023,23-Mar-2023,CE,16100.00,-,-,-,2053.80,-,1429.10,-,-,-,-,-,17450.90
NIFTY,01-Mar-2023,23-Mar-2023,CE,17400.00,218.75,270.00,218.50,261.40,262.00,261.40,1044.00,9212.56,129.76,22350.00,-6400.00,17450.90
NIFTY,01-Mar-2023,02-Mar-2023,CE,18000.00,1.60,1.70,0.55,0.65,0.60,0.65,717989.00,6462276.33,375.33,6943550.00,-2753300.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,16600.00,805.65,856.75,805.65,852.35,852.35,882.55,37.00,322.67,15.57,4400.00,-150.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,19200.00,2.65,2.75,1.30,1.45,1.30,1.45,238.00,2285.03,0.23,10350.00,4050.00,17450.90
NIFTY,01-Mar-2023,16-Mar-2023,CE,18600.00,5.95,5.95,3.90,4.10,4.15,4.10,355.00,3302.24,0.74,16900.00,15700.00,17450.90
NIFTY,01-Mar-2023,09-Mar-2023,CE,16700.00,710.10,785.35,710.10,777.95,770.50,777.95,12.00,104.64,4.44,500.00,100.00,17450.90
NIFTY,01-Mar-2023,29-Jun-2023,CE,9500.00,-,-,-,3103.00,3103.00,8174.70,-,-,-,4050.00,-,17450.90
NIFTY,01-Mar-2023,29-Jun-2023,CE,14500.00,-,-,-,3783.10,3783.10,3310.15,-,-,-,2075.00,-,17450.90
NIFTY,01-Mar-2023,29-Jun-2023,CE,15500.00,-,-,-,2638.80,2638.80,2394.55,-,-,-,875.00,-,17450.90
NIFTY,01-Mar-2023,28-Dec-2023,CE,17000.00,1391.55,1446.70,1390.00,1428.80,1430.00,1428.80,141.00,1298.25,99.75,61200.00,1600.00,17450.90
