datetime,open,high,low,close,volume
2024-08-16 09:15:00+05:30,24334.85,24403.55,24274.4,24295.0,0
2024-08-16 10:15:00+05:30,24293.7,24306.65,24204.5,24234.35,0
2024-08-16 11:15:00+05:30,24233.9,24440.4,24227.85,24419.8,0
2024-08-16 12:15:00+05:30,24419.95,24459.1,24389.2,24442.8,0
2024-08-16 13:15:00+05:30,24442.4,24518.2,24427.65,24516.0,0
2024-08-16 14:15:00+05:30,24514.95,24563.9,24473.25,24554.35,0
2024-08-16 15:15:00+05:30,24554.15,24561.3,24537.45,24539.2,0
2024-08-19 09:15:00+05:30,24636.35,24638.8,24566.0,24580.45,0
2024-08-19 10:15:00+05:30,24579.1,24590.2,24522.95,24543.95,0
2024-08-19 11:15:00+05:30,24544.45,24598.0,24542.7,24570.0,0
2024-08-19 12:15:00+05:30,24569.7,24592.9,24552.25,24590.45,0
2024-08-19 13:15:00+05:30,24590.9,24605.1,24543.85,24572.35,0
2024-08-19 14:15:00+05:30,24573.2,24592.35,24562.55,24571.45,0
2024-08-19 15:15:00+05:30,24571.25,24590.3,24570.6,24579.0,0
2024-08-20 09:15:00+05:30,24648.9,24725.8,24607.2,24722.6,0
2024-08-20 10:15:00+05:30,24722.95,24734.3,24674.55,24707.5,0
2024-08-20 11:15:00+05:30,24707.55,24719.1,24688.05,24709.8,0
2024-08-20 12:15:00+05:30,24708.0,24734.15,24701.55,24727.1,0
2024-08-20 13:15:00+05:30,24727.05,24729.1,24702.5,24719.45,0
2024-08-20 14:15:00+05:30,24718.8,24729.3,24690.9,24698.1,0
2024-08-20 15:15:00+05:30,24697.9,24705.65,24670.85,24672.85,0
2024-08-21 09:15:00+05:30,24680.55,24721.5,24654.5,24712.75,0
2024-08-21 10:15:00+05:30,24713.35,24753.95,24678.8,24693.5,0
2024-08-21 11:15:00+05:30,24693.55,24742.3,24693.2,24724.0,0
2024-08-21 12:15:00+05:30,24724.45,24739.1,24716.3,24727.8,0
2024-08-21 13:15:00+05:30,24727.7,24744.55,24696.8,24739.85,0
2024-08-21 14:15:00+05:30,24739.85,24774.8,24722.75,24767.05,0
2024-08-21 15:15:00+05:30,24767.5,24787.95,24763.05,24781.9,0
2024-08-22 09:15:00+05:30,24863.4,24867.35,24784.45,24813.75,0
2024-08-22 10:15:00+05:30,24814.15,24830.1,24802.45,24824.15,0
2024-08-22 11:15:00+05:30,24824.65,24847.8,24817.1,24832.65,0
2024-08-22 12:15:00+05:30,24832.7,24836.8,24800.85,24808.15,0
2024-08-22 13:15:00+05:30,24808.0,24837.7,24802.85,24832.0,0
2024-08-22 14:15:00+05:30,24833.05,24835.25,24796.65,24810.6,0
2024-08-22 15:15:00+05:30,24810.85,24822.75,24804.5,24810.9,0
2024-08-23 09:15:00+05:30,24845.4,24858.4,24771.65,24801.5,0
2024-08-23 10:15:00+05:30,24803.75,24850.65,24797.0,24833.4,0
2024-08-23 11:15:00+05:30,24835.1,24853.75,24819.3,24839.4,0
2024-08-23 12:15:00+05:30,24838.5,24845.5,24826.35,24839.2,0
2024-08-23 13:15:00+05:30,24837.9,24839.5,24818.9,24831.25,0
2024-08-23 14:15:00+05:30,24830.9,24848.85,24794.7,24822.7,0
2024-08-23 15:15:00+05:30,24822.0,24841.75,24815.05,24831.85,0
2024-08-26 09:15:00+05:30,24906.1,25017.25,24874.7,25008.35,0
2024-08-26 10:15:00+05:30,25008.4,25043.8,24971.25,24982.35,0
2024-08-26 11:15:00+05:30,24982.15,25020.25,24980.0,25001.05,0
2024-08-26 12:15:00+05:30,25001.0,25034.75,24995.3,25026.55,0
2024-08-26 13:15:00+05:30,25026.0,25030.55,25001.65,25009.75,0
2024-08-26 14:15:00+05:30,25010.05,25033.2,25002.8,25007.9,0
